item_code,item_name,item_group,stock_uom,selling_price,cago_display_name,cago_local_names,cago_public_description,cago_staff_advice,cago_use_cases,cago_crop_or_animal_targets,cago_package_color,cago_shelf_location,cago_stock_status_manual,cago_safety_notes,cago_is_chemical,cago_is_public_visible,image,cago_image_gallery
PHAN-BONLA-CHAI-500ML,Phân bón lá (chai 500ml),Phân bón,Chai,45000,Phân bón lá (chai 500ml),phân bón lá,Phân bón lá dạng nước.,,Phun bổ sung dinh dưỡng,"Rau, cây ăn trái",,,Còn hàng,,0,1,,
VOI-BOT-25KG,Vôi bột nông nghiệp 25kg,Phân bón,Bao,55000,Vôi bột nông nghiệp 25kg,"vôi, vôi bột",Vôi bột cải tạo đất.,,"Khử chua, cải tạo đất","Ruộng, ao",,,Còn hàng,,0,1,,
THUOC-TRUSAU-CHAI-100ML,Thuốc trừ sâu phổ rộng (chai 100ml),Thuốc bảo vệ thực vật,Chai,35000,Thuốc trừ sâu phổ rộng (chai 100ml),"thuốc sâu, thuốc trừ sâu",Thuốc trừ sâu cho cây trồng. Đọc kỹ nhãn trước khi dùng.,Hỏi kỹ cây/sâu gì trước khi tư vấn; không tự cho liều.,Trừ sâu hại,"Lúa, rau màu",,"Kệ thuốc (để cao, xa trẻ em)",Còn hàng,,1,1,,
THUOC-TRUSAU-CHAI-480ML,Thuốc trừ sâu (chai 480ml),Thuốc bảo vệ thực vật,Chai,120000,Thuốc trừ sâu (chai 480ml),thuốc sâu chai lớn,Thuốc trừ sâu cho cây trồng. Đọc kỹ nhãn.,,Trừ sâu hại,"Lúa, cây trồng",,"Kệ thuốc (để cao, xa trẻ em)",Còn hàng,,1,1,,
THUOC-TRUCO-CHAY-CHAI-480ML,Thuốc trừ cỏ cháy (chai 480ml),Thuốc bảo vệ thực vật,Chai,95000,Thuốc trừ cỏ cháy (chai 480ml),"thuốc cỏ, thuốc diệt cỏ","Thuốc trừ cỏ. Đọc kỹ nhãn, tránh xa cây trồng.",Cảnh báo khách cẩn thận drift sang cây trồng.,Diệt cỏ dại,"Bờ ruộng, vườn",,"Kệ thuốc (để cao, xa trẻ em)",Còn hàng,,1,1,,
THUOC-TRUCO-LUA-GOI,Thuốc trừ cỏ lúa (gói),Thuốc bảo vệ thực vật,Gói,18000,Thuốc trừ cỏ lúa (gói),thuốc cỏ lúa,Thuốc trừ cỏ cho lúa. Đọc kỹ nhãn.,,Diệt cỏ ruộng lúa,Lúa,,"Kệ thuốc (để cao, xa trẻ em)",Còn hàng,,1,1,,
THUOC-TRUBENH-NAM-CHAI,Thuốc trừ bệnh (nấm) chai 100ml,Thuốc bảo vệ thực vật,Chai,40000,Thuốc trừ bệnh (nấm) chai 100ml,"thuốc nấm, thuốc bệnh",Thuốc phòng trừ bệnh nấm. Đọc kỹ nhãn.,,Trừ bệnh nấm,"Lúa, rau, cây ăn trái",,"Kệ thuốc (để cao, xa trẻ em)",Còn hàng,,1,1,,
THUOC-OC-GOI,Thuốc trừ ốc bươu vàng (gói),Thuốc bảo vệ thực vật,Gói,22000,Thuốc trừ ốc bươu vàng (gói),thuốc ốc,Thuốc trừ ốc bươu vàng. Đọc kỹ nhãn.,,Trừ ốc hại lúa,Ruộng lúa,,"Kệ thuốc (để cao, xa trẻ em)",Còn hàng,,1,1,,
THUOC-CHUOT-GOI-50G,Bả diệt chuột (gói 50g),Thuốc bảo vệ thực vật,Gói,12000,Bả diệt chuột (gói 50g),"thuốc chuột, bả chuột","Bả diệt chuột. Để xa trẻ em, vật nuôi, thức ăn.",Dặn khách để xa trẻ em/vật nuôi/thực phẩm.,Diệt chuột,"Nhà, kho, ruộng",,"Kệ thuốc (để cao, xa trẻ em)",Còn hàng,,1,1,,
LUA-OM5451-1KG,Lúa giống OM5451 (1kg),Hạt giống,Kg,35000,Lúa giống OM5451 (1kg),"lúa giống, giống lúa om5451",Lúa giống OM5451.,,Gieo sạ lúa,Lúa,,,Còn hàng,,0,1,,
LUA-DAITHOM8-1KG,Lúa giống Đài Thơm 8 (1kg),Hạt giống,Kg,42000,Lúa giống Đài Thơm 8 (1kg),đài thơm 8,Lúa giống Đài Thơm 8.,,Gieo sạ lúa thơm,Lúa,,,Còn hàng,,0,1,,
LUA-ST25-1KG,Lúa giống ST25 (1kg),Hạt giống,Kg,60000,Lúa giống ST25 (1kg),"st25, giống st25",Lúa giống ST25.,,Gieo sạ lúa thơm,Lúa,,,Còn hàng,,0,1,,
HG-CAIXANH-GOI,Hạt giống rau cải xanh (gói),Hạt giống,Gói,10000,Hạt giống rau cải xanh (gói),"giống cải, hạt cải xanh",Hạt giống rau cải xanh.,,Trồng rau cải,Rau,,,Còn hàng,,0,1,,
HG-RAUMUONG-GOI,Hạt giống rau muống (gói),Hạt giống,Gói,12000,Hạt giống rau muống (gói),giống rau muống,Hạt giống rau muống.,,Trồng rau muống,Rau,,,Còn hàng,,0,1,,
HG-DUALEO-GOI,Hạt giống dưa leo (gói),Hạt giống,Gói,18000,Hạt giống dưa leo (gói),"giống dưa leo, dưa chuột",Hạt giống dưa leo.,,Trồng dưa leo,Rau màu,,,Còn hàng,,0,1,,
HG-OT-GOI,Hạt giống ớt (gói),Hạt giống,Gói,20000,Hạt giống ớt (gói),giống ớt,Hạt giống ớt.,,Trồng ớt,Rau màu,,,Còn hàng,,0,1,,
HG-BAP-NEP-GOI,Hạt giống bắp nếp (gói),Hạt giống,Gói,25000,Hạt giống bắp nếp (gói),"giống bắp, ngô nếp",Hạt giống bắp (ngô) nếp.,,Trồng bắp,Bắp/ngô,,,Còn hàng,,0,1,,
DC-BINHPHUN-TAY-16L,Bình phun thuốc tay 16L,Dụng cụ,Cái,180000,Bình phun thuốc tay 16L,"bình xịt, bình phun tay",Bình phun thuốc đeo vai loại bơm tay 16L.,,Phun thuốc/phân bón lá,,,Khu dụng cụ,Còn hàng,,0,1,,
DC-BINHPHUN-DIEN-16L,Bình phun thuốc điện 16L,Dụng cụ,Cái,480000,Bình phun thuốc điện 16L,"bình xịt điện, bình phun pin",Bình phun thuốc dùng pin/điện 16L.,,Phun thuốc diện rộng,,,Khu dụng cụ,Còn hàng,,0,1,,
DC-CUOC-BAN,Cuốc bàn,Dụng cụ,Cái,85000,Cuốc bàn,cuốc,Cuốc bàn làm đất.,,"Làm đất, làm vườn",,,Khu dụng cụ,Còn hàng,,0,1,,
DC-XENG,Xẻng,Dụng cụ,Cái,90000,Xẻng,"xẻng, leng",Xẻng xúc đất.,,"Xúc đất, trộn",,,Khu dụng cụ,Còn hàng,,0,1,,
DC-LIEM,Liềm cắt lúa/cỏ,Dụng cụ,Cái,35000,Liềm cắt lúa/cỏ,"liềm, lưỡi hái","Liềm cắt lúa, cắt cỏ.",,"Cắt lúa, cắt cỏ",,,Khu dụng cụ,Còn hàng,,0,1,,
DC-UNG-CAOSU,Ủng cao su (đôi),Dụng cụ,Đôi,70000,Ủng cao su (đôi),"ủng, ủng cao su",Ủng cao su đi ruộng.,,Bảo hộ chân khi làm ruộng,,,Khu dụng cụ,Còn hàng,,0,1,,
DC-GANGTAY,Găng tay làm vườn (đôi),Dụng cụ,Đôi,15000,Găng tay làm vườn (đôi),găng tay,Găng tay bảo hộ.,,Bảo hộ tay,,,Khu dụng cụ,Còn hàng,,0,1,,
DC-KHAUTRANG,Khẩu trang lọc (cái),Dụng cụ,Cái,6000,Khẩu trang lọc (cái),khẩu trang,Khẩu trang bảo hộ khi phun thuốc.,,Bảo hộ khi phun thuốc,,,Khu dụng cụ,Còn hàng,,0,1,,
DC-BAT-DAM,Bạt phơi nông sản (tấm),Dụng cụ,Tấm,120000,Bạt phơi nông sản (tấm),"bạt, bạt phơi",Bạt phơi lúa/nông sản.,,Phơi nông sản,,,Khu dụng cụ,Còn hàng,,0,1,,
NS-GAO-TE-KG,Gạo tẻ (kg),Nông sản,Kg,20000,Gạo tẻ (kg),"gạo, gạo tẻ",Gạo tẻ.,,Lương thực,,,Khu nông sản,Còn hàng,,0,1,,
NS-GAO-NEP-KG,Gạo nếp (kg),Nông sản,Kg,30000,Gạo nếp (kg),"gạo nếp, nếp",Gạo nếp.,,"Nấu xôi, làm bánh",,,Khu nông sản,Còn hàng,,0,1,,
NS-CAM-GAO-KG,Cám gạo (kg),Nông sản,Kg,12000,Cám gạo (kg),cám gạo,Cám gạo cho chăn nuôi.,,Chăn nuôi,"Heo, gà, cá",,Khu nông sản,Còn hàng,,0,1,,
